Age	Qmax	Label
1	5.502997192	1
2	5.171834231	1
20	5.229965994	1
22	5.79591439	1
22	5.709873656	1
22	5.681292223	1
24	5.648374676	1
24	5.827666094	1
24	5.534262135	1
24	5.040729482	1
25	5.136575375	1
25	5.745458745	1
25	5.172037316	1
25	5.571814167	1
26	5.048238148	1
26	5.148432319	1
26	5.996952218	1
26	5.444615053	1
26	5.01192325	1
27	5.364694089	1
27	5.461420723	1
34	5.450770492	1
34	5.113518585	1
35	5.834622019	1
35	5.287668348	1
35	5.607590627	1
35	5.516643628	1
35	5.674482296	1
35	5.195863552	1
35	5.815536207	1
36	5.330620219	1
1	5.006573011	1
1	5.424631266	1
2	5.214367421	1
2	5.435025758	1
3	5.580582916	1
3	5.339389414	1
5	5.587359088	1
5	5.400507203	1
6	5.930580164	1
6	5.495238026	1
7	5.148329251	1
8	5.60744918	1
8	5.813023409	1
8	5.623669798	1
8	5.312830004	1
9	5.157253193	1
9	5.953413184	1
9	5.146160021	1
9	5.602701317	1
9	5.195399223	1
9	5.192678757	1
9	5.982732666	1
9	5.662289328	1
10	5.821124528	1
10	5.969122102	1
10	5.619888733	1
10	5.474983249	1
10	5.845469513	1
10	5.69771678	1
11	5.629821886	1
11	5.260325603	1
11	5.277603375	1
11	5.015786633	1
12	5.091635462	1
12	5.204802575	1
13	5.568757418	1
13	5.052565471	1
14	5.65531395	1
14	5.13352286	1
16	5.323757176	1
16	5.849865459	1
16	5.310491399	1
16	5.465344731	1
16	5.402058922	1
16	5.812058555	1
16	5.274597816	1
17	5.310612564	1
20	5.073360369	1
21	5.595802091	1
21	5.798754079	1
21	5.368516128	1
21	5.167268865	1
21	5.163415545	1
22	5.104824624	1
22	5.360186674	1
22	5.962174962	1
23	5.818543165	1
23	5.113326656	1
24	5.093996298	1
24	5.895393221	1
24	5.918712375	1
24	5.099433133	1
24	5.901127977	1
25	5.044795867	1
25	5.616625634	1
25	5.923096268	1
26	5.102335464	1
29	5.731579333	1
9	5.420499204	1
34	5.019357351	1
3	5.370913971	1
3	5.524467608	1
3	5.583489108	1
3	5.906197395	1
6	5.342253763	1
24	5.387570426	1
24	5.333221341	1
25	5.569822525	1
27	5.586950563	1
28	5.707278384	1
29	5.734669443	1
37	5.721067024	1
1	0.112298405	0
2	0.457990894	0
3	0.54309963	0
4	0.58163579	0
5	0.886091676	0
6	0.822137759	0
7	0.748529987	0
8	0.555197423	0
9	0.487015004	0
10	0.166868012	0
11	0.639126619	0
12	0.865877694	0
13	0.877501252	0
14	0.39794452	0
15	0.118186737	0
16	0.005492873	0
17	0.467789159	0
18	0.360797142	0
19	0.697834596	0
20	0.620900733	0
16	0.09401383	0
17	0.139350355	0
18	0.06228341	0
19	0.294136745	0
20	0.268515046	0
21	0.815156035	0
22	0.344492016	0
23	0.520541484	0
24	0.077149741	0
25	0.492526324	0
26	0.292273036	0
0	0.073875014	0
0	0.396246468	0
0	0.169774644	0
1	0.313384153	0
2	0.862452171	0
3	0.680941511	0
4	0.34233793	0
5	0.983862119	0
6	0.326622641	0
7	0.436987508	0
8	0.060466904	0
9	0.979834817	0
10	0.405458209	0
11	0.629727476	0
12	0.532334935	0
13	0.550273582	0
14	0.109298775	0
15	0.706778207	0
16	0.262830549	0
17	0.586624675	0
18	0.774847875	0
19	0.61506888	0
7	0.148962632	0
8	0.064984824	0
0	0.150797383	0
1	0.17823219	0
1	0.914721087	0
2	0.137463064	0
2	0.564500293	0
18	0.466946883	0
19	0.761400388	0
20	0.431597142	0
21	0.553999276	0
22	0.342682056	0
23	0.133806659	0
36	0.180169182	0
36	0.51475813	0
36	0.184395457	0
7	0.058434033	0
8	0.648492794	0
7	0.106731928	0
8	0.918088944	0
7	0.596609288	0
7	0.952218932	0
8	0.394951112	0
36	0.860726728	0
36	0.573767958	0
1	0.765935853	0
2	0.955583337	0
3	0.562872566	0
4	0.895439595	0
5	0.611313878	0
6	0.469476698	0
7	0.788504697	0
8	0.441183571	0
9	0.383273115	0
10	0.646476026	0
11	0.005817818	0
12	0.739630635	0
13	0.523628297	0
14	0.676344109	0
15	0.279423887	0
16	0.370950293	0
17	0.783891558	0
18	0.785907674	0
19	0.252214398	0
20	0.317477258	0
16	0.832390849	0
17	0.897088036	0
18	0.984248874	0
19	0.288894927	0
20	0.055588021	0
21	0.826764452	0
22	0.776385452	0
23	0.385287422	0
24	0.779456772	0
25	0.94695814	0
26	0.747971244	0
0	0.329536296	0
0	0.794008196	0
0	0.732613319	0
1	0.860761762	0
2	0.899951492	0
3	0.502527233	0
4	0.164290836	0
5	0.285340014	0
6	0.124690852	0
7	0.236810395	0
8	0.524379628	0
9	0.491657612	0
10	0.261435843	0
11	0.280671799	0
12	0.727969199	0
13	0.211921871	0
14	0.578955859	0
15	0.926210663	0
16	0.963316264	0
17	0.471904306	0
18	0.481607081	0
19	0.450810375	0
7	0.081877751	0
8	0.215847365	0
0	0.573476196	0
1	0.247565712	0
1	0.874170408	0
2	0.66049821	0
2	0.84579309	0
18	0.467811019	0
19	0.095258033	0
20	0.405399511	0
21	0.289401086	0
22	0.441649528	0
23	0.862454472	0
36	0.499418937	0
36	0.883486974	0
36	0.830859465	0
7	0.837871309	0
8	0.117600804	0
7	0.092437157	0
8	0.938280117	0
7	0.429727103	0
7	0.237774326	0
8	0.714600672	0
36	0.84875707	0
36	0.098874526	0
